condition,scenario,run_count,unitAttributionCount_mean,unitAttributionCount_stddev,unitAttributionCount_ci_lower,unitAttributionCount_ci_upper,degradedConflictCount_mean,degradedConflictCount_stddev,degradedConflictCount_ci_lower,degradedConflictCount_ci_upper,contradictionCount_mean,contradictionCount_stddev,contradictionCount_ci_lower,contradictionCount_ci_upper,factSurvivalRate_mean,factSurvivalRate_stddev,factSurvivalRate_ci_lower,factSurvivalRate_ci_upper,erosionRate_mean,erosionRate_stddev,erosionRate_ci_lower,erosionRate_ci_upper,driftAbsorptionRate_mean,driftAbsorptionRate_stddev,driftAbsorptionRate_ci_lower,driftAbsorptionRate_ci_upper,majorContradictionCount_mean,majorContradictionCount_stddev,majorContradictionCount_ci_lower,majorContradictionCount_ci_upper,meanTurnsToFirstDrift_mean,meanTurnsToFirstDrift_stddev,meanTurnsToFirstDrift_ci_lower,meanTurnsToFirstDrift_ci_upper
NO_AWMU,adversarial-displacement,10,4.5,0.806225774829855,3.9732658271111614,5.026734172888839,1.5,2.4596747752497685,1.5,1.5,7.4,5.44426303552648,3.8430814834560336,10.956918516543967,34.0,25.37715508089904,17.420258680479293,50.57974131952071,53.833333333333336,40.81155882018393,27.169781570813164,80.49688509585351,54.44444444444444,32.75422882885261,33.04501494292741,75.84387394596148,5.5,4.006245124802026,2.882586518462676,8.117413481537323,10.963333333333333,2.3062451445296674,9.45658650557395,12.470080161092715
NO_AWMU,adversarial-poisoned-player,10,5.0,0.0,5.0,5.0,0.3,0.9000000000000001,0.3,0.3,2.0,0.7745966692414834,1.493930176095564,2.506069823904436,82.0,6.0,78.08,85.92,90.0,30.0,70.4,109.6,77.77777777777779,8.606629658238706,72.15477973439516,83.40077582116041,1.0,0.6324555320336759,0.5867957190713318,1.4132042809286682,3.0,0.0,3.0,3.0
NO_AWMU,balanced-campaign,10,4.7,0.45825756949558405,4.400605054596219,4.999394945403782,0.7,2.0999999999999996,0.7,0.7,0.0,0.0,0.0,0.0,94.0,9.16515138991168,88.01210109192436,99.98789890807564,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,compliance-fraud-review,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,compliance-policy-adaptive,10,3.0,0.4472135954999579,2.7078204509400274,3.2921795490599726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.180339887498949,67.69551127350068,82.30448872649932,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,cursed-blade,10,4.0,0.0,4.0,4.0,1.0,2.1908902300206643,1.0,1.0,0.1,0.30000000000000004,-0.09600000000000003,0.29600000000000004,97.5,7.5,92.6,102.4,0.0,0.0,0.0,0.0,98.88888888888889,3.3333333333333344,96.71111111111111,101.06666666666666,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0
NO_AWMU,ops-incident-adaptive,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,ops-incident-response,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_AWMU,trust-evaluation-basic,10,3.8,0.39999999999999997,3.5386666666666664,4.061333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,88.46666666666667,101.53333333333333,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_COMPLIANCE,adversarial-contradictory,10,4.8,0.39999999999999997,4.538666666666667,5.061333333333333,1.1,2.3000000000000003,1.1,1.1,0.3,0.45825756949558394,6.050545962184573E-4,0.5993949454037815,92.0,9.797958971132712,85.59866680552663,98.40133319447337,0.0,0.0,0.0,0.0,97.0,4.58257569495584,94.00605054596218,99.99394945403782,0.3,0.45825756949558394,6.050545962184573E-4,0.5993949454037815,10.333333333333334,2.8674417556808756,6.359261813538497,14.30740485312817
